Address,Quality,Size,Name
0x00000071000043e0,O,000008,_ZN23HelpAmiiboLifeMaxUpItem11isEnableUseEv
0x00000071000043e8,O,000376,_ZN23HelpAmiiboLifeMaxUpItem8activateEv
0x0000007100004560,O,000064,_ZN23HelpAmiiboLifeMaxUpItem7executeEv
0x00000071000045a0,O,000008,_ZNK23HelpAmiiboLifeMaxUpItem7getTypeEv
0x00000071000045a8,O,000060,_ZN29HelpAmiiboNavigateCoinCollectC2EP18HelpAmiiboDirectorPN2al9LiveActorE
0x00000071000045e4,O,000096,_ZN29HelpAmiiboNavigateCoinCollect18initAfterPlacementERKN2al13ActorInitInfoE
0x0000007100004644,O,000008,_ZNK29HelpAmiiboNavigateCoinCollect14isTriggerTouchERKN2al7NfpInfoE
0x000000710000464c,O,000220,_ZN29HelpAmiiboNavigateCoinCollect8activateEv
0x0000007100004728,O,000096,_ZN29HelpAmiiboNavigateCoinCollect7executeEv
0x0000007100004788,O,000008,_ZNK29HelpAmiiboNavigateCoinCollect7getTypeEv
0x0000007100004790,O,000056,_ZN26HelpAmiiboPlayerInvincibleC1EP18HelpAmiiboDirectorPN2al9LiveActorE
0x00000071000047c8,O,000060,_ZNK26HelpAmiiboPlayerInvincible14isTriggerTouchERKN2al7NfpInfoE
0x0000007100004804,O,000008,_ZN26HelpAmiiboPlayerInvincible11isEnableUseEv
0x000000710000480c,O,000080,_ZN26HelpAmiiboPlayerInvincible7executeEv
0x000000710000485c,O,000008,_ZNK26HelpAmiiboPlayerInvincible7getTypeEv
0x0000007100004864,O,000060,_ZN15HelpAmiiboYoshiC2EP18HelpAmiiboDirectorPN2al9LiveActorE
0x00000071000048a0,O,000096,_ZN15HelpAmiiboYoshi18initAfterPlacementERKN2al13ActorInitInfoE
0x0000007100004900,O,000008,_ZNK15HelpAmiiboYoshi14isTriggerTouchERKN2al7NfpInfoE
0x0000007100004908,O,000112,_ZN15HelpAmiiboYoshi8activateEv
0x0000007100004978,O,000032,_ZN15HelpAmiiboYoshi7executeEv
0x0000007100004998,O,000008,_ZNK15HelpAmiiboYoshi7getTypeEv
0x00000071000049a0,O,000120,_ZN15ItemAmiiboKoopaC2EPKc
0x0000007100004a18,O,000132,_ZN15ItemAmiiboKoopaC1EPKc
0x0000007100004a9c,O,000112,_ZN15ItemAmiiboKoopa4initERKN2al13ActorInitInfoE
0x0000007100004b0c,O,000060,_ZN15ItemAmiiboKoopa6appearEv
0x0000007100004b48,O,000124,_ZN15ItemAmiiboKoopa9exeExpandEv
0x0000007100004bc4,O,000080,_ZN15ItemAmiiboKoopa7exeWaitEv
0x0000007100004c14,O,000008,_ZN15ItemAmiiboKoopa12attackSensorEPN2al9HitSensorES2_
0x0000007100004c1c,O,000008,_ZNK2al9LiveActor14getNerveKeeperEv
0x0000007100004c24,O,000004,_ZN2al9LiveActor4initERKNS_13ActorInitInfoE
0x0000007100004c28,O,000004,_ZN2al9LiveActor12attackSensorEPNS_9HitSensorES2_
0x0000007100004c2c,O,000008,_ZN2al9LiveActor10receiveMsgEPKNS_9SensorMsgEPNS_9HitSensorES5_
0x0000007100004c34,O,000008,_ZN2al9LiveActor21receiveMsgScreenPointEPKNS_9SensorMsgEPNS_13ScreenPointerEPNS_17ScreenPointTargetE
0x0000007100004c3c,O,000008,_ZNK2al9LiveActor7getNameEv
0x0000007100004c44,O,000008,_ZNK2al9LiveActor15getEffectKeeperEv
0x0000007100004c4c,O,000008,_ZNK2al9LiveActor14getAudioKeeperEv
0x0000007100004c54,O,000008,_ZNK2al9LiveActor20getStageSwitchKeeperEv
0x0000007100004c5c,O,000004,_ZN2al9LiveActor7controlEv
0x0000007100004c60,O,000020,_ZTv0_n24_NK2al9LiveActor7getNameEv
0x0000007100004c74,O,000008,_ZThn24_NK2al9LiveActor20getStageSwitchKeeperEv
0x0000007100004c7c,O,000008,_ZThn8_NK2al9LiveActor15getEffectKeeperEv
0x0000007100004c84,O,000008,_ZThn16_NK2al9LiveActor14getAudioKeeperEv
0x0000007100004c8c,O,000128,_ZNK12_GLOBAL__N_124ItemAmiiboKoopaNrvExpand7executeEPN2al11NerveKeeperE
0x0000007100004d0c,O,000084,_ZNK12_GLOBAL__N_122ItemAmiiboKoopaNrvWait7executeEPN2al11NerveKeeperE
0x0000007100004d60,O,000016,_ZN16SearchAmiiboDataC2Ev
0x0000007100004d70,O,000016,_ZN16SearchAmiiboData4initEv
0x0000007100004d80,O,000016,_ZNK16SearchAmiiboData11isInvalidIdEv
0x0000007100004d90,O,000084,_ZN21SearchAmiiboDataTableC2Ev
0x0000007100004de4,O,000044,_ZN21SearchAmiiboDataTable4initEv
0x0000007100004e10,O,000320,_ZN21SearchAmiiboDataTable5writeEPN2al11ByamlWriterE
0x0000007100004f50,O,000288,_ZN21SearchAmiiboDataTable4readERKN2al9ByamlIterE
0x0000007100005070,O,000008,_ZNK21SearchAmiiboDataTable13getDataNumMaxEv
0x0000007100005078,O,000024,_ZNK21SearchAmiiboDataTable11isInvalidIdEi
0x0000007100005090,O,000012,_ZNK21SearchAmiiboDataTable7getDataEi
0x000000710000509c,O,000016,_ZNK21SearchAmiiboDataTable5getIdEi
0x00000071000050ac,O,000016,_ZNK21SearchAmiiboDataTable14getNumberingIdEi
0x00000071000050bc,O,000028,_ZN21SearchAmiiboDataTable5setIdEiii
0x00000071000050d8,O,000016,_ZNK21SearchAmiiboDataTable18getSearchStartTimeEi
0x00000071000050e8,O,000016,_ZN21SearchAmiiboDataTable18setSearchStartTimeEmi
0x00000071000050f8,O,000032,_ZN21SearchAmiiboDataTable4copyEii
0x0000007100005118,O,000024,_ZN21SearchAmiiboDataTable11initByIndexEi
0x0000007100005130,U,000124,_ZN21BirdGatheringSpotAreaC2EPKc
0x00000071000051ac,U,000136,_ZN21BirdGatheringSpotAreaC1EPKc
0x0000007100005234,U,000068,_ZN21BirdGatheringSpotArea4initERKN2al12AreaInitInfoE
0x0000007100005278,U,000152,_ZN21BirdGatheringSpotArea14updateClippingEPKN2al13ClippingJudgeERKN4sead7Vector3IfEE
0x0000007100005310,U,000008,_ZNK21BirdGatheringSpotArea9isClippedEv
0x0000007100005318,U,000008,_ZNK21BirdGatheringSpotArea16getSightDistanceEv
0x0000007100005320,U,000020,_ZNK21BirdGatheringSpotArea27isGreaterPriorityNotClippedEPKS_
